i,x,y,z,r,theta
0,0,0,0,0,180
1,36,7,0,36,191
2,-38,-197,0,200,80
3,-107,57,0,121,331
4,-37,-5,0,37,8
5,141,-56,0,151,159
6,216,-65,0,225,164
7,-42,192,0,196,282
8,-121,117,0,168,315
9,-8,-42,0,42,80
10,50,-11,0,51,168
11,87,-117,0,145,127
12,-194,-49,0,200,15
13,56,-36,0,66,148
14,-173,78,0,189,335
15,77,14,0,78,190
16,-44,26,0,51,329
17,207,-112,0,235,152
18,-16,45,0,47,289
19,48,-6,0,48,173
20,-34,132,0,136,284
21,-124,-14,0,124,7
22,-168,129,0,211,322
23,-136,85,0,160,327
24,-139,83,0,161,329
25,-44,-193,0,197,78
26,163,182,0,244,228
27,-26,-92,0,95,75
28,-1,-232,0,232,90
29,-23,51,0,55,294
30,-55,181,0,189,286
31,-200,-112,0,229,30
32,-51,47,0,69,317
33,105,-205,0,230,118
34,41,-144,0,149,106
35,21,147,0,148,261
36,-135,71,0,152,332
37,14,81,0,82,260
38,158,-12,0,158,176
39,-97,-174,0,199,61
40,227,-66,0,236,164
41,66,239,0,247,254
42,75,103,0,127,233
43,178,-64,0,189,161
44,-48,-171,0,177,75
45,231,-33,0,233,172
46,102,-153,0,183,124
47,65,48,0,80,216
48,-123,168,0,208,306
49,-53,-6,0,53,7
50,106,-69,0,126,147
51,-127,-202,0,238,58
52,-115,-179,0,212,58
53,104,45,0,113,203
54,-168,78,0,185,335
55,204,21,0,205,185
56,-46,-241,0,245,80
57,-16,-103,0,104,82
58,50,-220,0,225,103
59,3,72,0,72,267
60,212,11,0,212,182
61,-10,-94,0,94,84
62,34,76,0,83,245
63,-30,59,0,66,296
64,144,-164,0,218,132
65,52,32,0,61,211
66,48,-146,0,153,109
67,152,2,0,152,180
68,-165,11,0,165,356
69,-2,185,0,185,270
70,-129,62,0,143,334
71,194,-34,0,196,171
72,-4,-60,0,60,87
73,-36,-57,0,67,58
74,-153,2,0,153,359
75,49,152,0,159,252
76,152,169,0,227,228
77,17,-131,0,132,98
78,-9,41,0,41,282
79,7,107,0,107,266
80,226,-65,0,235,164
81,-97,151,0,179,302
82,127,-12,0,127,175
83,62,91,0,110,235
84,33,5,0,33,188
85,70,46,0,83,213
86,221,-109,0,246,154
87,-140,-187,0,233,54
88,31,1,0,31,181
89,-74,142,0,160,297
90,-20,-28,0,34,55
91,-21,-39,0,44,62
92,-49,-173,0,179,75
93,-184,166,0,247,317
94,102,-219,0,241,115
95,7,242,0,242,268
96,93,-166,0,190,120
97,-192,-150,0,243,38
98,54,2,0,54,182
99,-211,-88,0,228,23
100,99,50,0,110,206
101,-9,44,0,44,281
102,-222,-64,0,231,17
