n,delta_barnes_hut,delta_energy,s
1000,0.010000,-0.00552,177.663
1000,0.010000,-0.00472,178.712
1000,0.010000,0.00004,178.787
1000,0.010000,-0.00421,177.458
1000,0.010000,-0.00092,180.155
1000,0.010000,0.00107,179.596
1000,0.010000,0.00467,177.501
1000,0.010000,-0.00788,178.067
1000,0.010000,-0.00328,178.684
1000,0.010000,0.00313,176.720
1000,0.010000,0.00189,179.373
1000,0.010000,-0.00058,179.555
1000,0.010000,-0.00264,181.157
1000,0.010000,-0.00337,178.731
1000,0.010000,-0.00648,180.273
1000,0.010000,-0.00103,178.353
1000,0.010000,0.00365,179.131
1000,0.010000,0.00113,179.570
1000,0.010000,0.00416,177.581
1000,0.010000,-0.00495,179.845
1000,0.010000,-0.00159,178.868
1000,0.010000,0.00535,179.149
1000,0.010000,-0.00889,178.947
1000,0.010000,-0.00169,179.829
1000,0.010000,-0.00594,177.822
1000,0.010000,-0.00045,178.565
1000,0.010000,0.00214,178.212
1000,0.010000,-0.00371,178.012
1000,0.010000,0.00180,177.033
1000,0.010000,0.00034,179.423
1000,0.010000,-0.00562,178.168
1000,0.010000,0.00283,178.237
1000,0.010000,-0.00145,179.442
1000,0.010000,-0.00386,179.109
1000,0.010000,-0.00921,177.915
1000,0.010000,-0.00131,178.479
1000,0.010000,0.00169,178.169
1000,0.010000,-0.00141,176.841
1000,0.010000,-0.00496,177.220
1000,0.010000,-0.00123,179.949
1000,0.010000,-0.00209,177.646
1000,0.010000,-0.00062,180.929
1000,0.010000,-0.00673,180.261
1000,0.010000,-0.00154,178.643
1000,0.010000,-0.00168,179.361
1000,0.010000,0.00617,178.210
1000,0.010000,-0.00925,178.475
1000,0.010000,-0.01039,177.278
1000,0.010000,-0.00068,180.188
1000,0.010000,-0.00873,179.177
1000,0.010000,-0.00391,179.521
1000,0.010000,-0.00503,178.007
1000,0.010000,-0.00343,178.063
1000,0.010000,-0.00265,179.481
1000,0.010000,-0.00278,178.325
1000,0.010000,-0.00193,176.910
1000,0.010000,-0.00631,180.168
1000,0.010000,-0.00453,178.181
1000,0.010000,-0.00105,178.536
1000,0.010000,-0.00162,179.483
1000,0.010000,-0.00340,180.208
1000,0.010000,-0.00989,179.838
1000,0.010000,-0.00450,178.628
1000,0.010000,-0.00243,178.985
1000,0.010000,-0.00049,179.135
1000,0.010000,0.00018,178.356
1000,0.010000,0.00056,177.515
1000,0.010000,-0.00537,177.499
1000,0.010000,-0.00300,179.851
1000,0.010000,-0.00296,179.998
1000,0.010000,0.00301,179.744
1000,0.010000,-0.00211,179.716
1000,0.010000,-0.00249,178.914
1000,0.010000,-0.00520,178.474
1000,0.010000,-0.00127,179.665
1000,0.010000,-0.00148,177.492
1000,0.010000,-0.00702,179.335
1000,0.010000,-0.00222,177.941
1000,0.010000,-0.00440,179.510
1000,0.010000,-0.00013,179.958
1000,0.010000,0.00296,178.375
1000,0.010000,-0.00310,180.285
1000,0.010000,0.00695,180.081
1000,0.010000,-0.00275,178.829
1000,0.010000,-0.00057,179.295
1000,0.010000,0.00158,179.211
1000,0.010000,-0.00710,180.549
1000,0.010000,-0.00099,180.134
1000,0.010000,-0.00786,178.365
1000,0.010000,0.00073,179.398
1000,0.010000,-0.00320,179.612
1000,0.010000,-0.00254,178.733
1000,0.010000,-0.00047,180.261
1000,0.010000,-0.00341,179.550
1000,0.010000,0.00110,179.327
1000,0.010000,-0.00517,179.127
1000,0.010000,0.00059,179.992
1000,0.010000,0.00031,179.589
1000,0.010000,0.00062,180.696
1000,0.010000,-0.00764,178.586
1000,0.025000,-0.00245,166.053
1000,0.025000,-0.00404,165.562
1000,0.025000,0.00158,164.147
1000,0.025000,-0.00447,164.680
1000,0.025000,0.00366,165.643
1000,0.025000,0.00165,165.873
1000,0.025000,-0.00225,164.873
1000,0.025000,-0.00911,164.305
1000,0.025000,-0.00578,165.315
1000,0.025000,-0.00526,166.269
1000,0.025000,-0.00596,164.924
1000,0.025000,0.00090,164.130
1000,0.025000,-0.00068,164.645
1000,0.025000,-0.00564,164.729
1000,0.025000,-0.00099,165.127
1000,0.025000,-0.00597,163.984
1000,0.025000,-0.00109,164.689
1000,0.025000,-0.00041,165.165
1000,0.025000,-0.00542,165.868
1000,0.025000,0.00456,165.359
1000,0.025000,-0.00552,165.551
1000,0.025000,-0.00222,165.546
1000,0.025000,-0.00601,165.979
1000,0.025000,-0.00864,164.069
1000,0.025000,0.00136,166.561
1000,0.025000,-0.00188,165.385
1000,0.025000,-0.00158,165.428
1000,0.025000,0.00065,166.419
1000,0.025000,0.00212,165.793
1000,0.025000,-0.00590,165.996
1000,0.025000,-0.00623,166.328
1000,0.025000,-0.00033,164.990
1000,0.025000,0.00067,165.830
1000,0.025000,-0.00523,165.696
1000,0.025000,0.00057,165.277
1000,0.025000,-0.00466,165.204
1000,0.025000,-0.00463,166.153
1000,0.025000,-0.00294,166.152
1000,0.025000,0.00161,165.670
1000,0.025000,-0.00232,164.577
1000,0.025000,-0.00499,165.400
1000,0.025000,-0.00662,165.567
1000,0.025000,-0.00061,166.144
1000,0.025000,-0.00876,164.671
1000,0.025000,0.00124,165.209
1000,0.025000,0.00017,165.948
1000,0.025000,0.00161,164.806
1000,0.025000,-0.00830,164.917
1000,0.025000,-0.00775,164.788
1000,0.025000,0.00565,165.670
1000,0.025000,0.00081,164.884
1000,0.025000,-0.00120,164.415
1000,0.025000,-0.00186,165.281
1000,0.025000,-0.00584,164.300
1000,0.025000,0.00320,165.185
1000,0.025000,-0.00042,165.069
1000,0.025000,-0.00096,165.510
1000,0.025000,-0.00817,165.403
1000,0.025000,0.00069,165.111
1000,0.025000,-0.00125,165.675
1000,0.025000,-0.00320,165.382
1000,0.025000,-0.00320,165.328
1000,0.025000,-0.00378,165.510
1000,0.025000,-0.00091,165.830
1000,0.025000,-0.00980,165.204
1000,0.025000,-0.00231,165.060
1000,0.025000,-0.00397,163.744
1000,0.025000,-0.00540,165.710
1000,0.025000,-0.00054,164.719
1000,0.025000,-0.00054,164.667
1000,0.025000,-0.00481,164.663
1000,0.025000,-0.00057,165.812
1000,0.025000,-0.00096,165.668
1000,0.025000,-0.00376,167.063
1000,0.025000,0.00468,164.192
1000,0.025000,-0.01034,166.512
1000,0.025000,-0.00109,165.680
1000,0.025000,-0.00366,166.860
1000,0.025000,-0.00447,167.194
1000,0.025000,-0.00070,164.413
1000,0.025000,-0.00597,165.908
1000,0.025000,-0.00157,164.850
1000,0.025000,0.00326,165.534
1000,0.025000,0.00453,165.373
1000,0.025000,-0.00184,165.925
1000,0.025000,-0.00238,165.465
1000,0.025000,-0.00135,164.232
1000,0.025000,0.00010,164.349
1000,0.025000,-0.00363,165.419
1000,0.025000,-0.00054,165.469
1000,0.025000,-0.00820,165.788
1000,0.025000,0.00127,164.725
1000,0.025000,0.00142,164.796
1000,0.025000,-0.00662,164.866
1000,0.025000,-0.00037,164.805
1000,0.025000,-0.00328,165.083
1000,0.025000,0.00091,165.717
1000,0.025000,0.00056,164.135
1000,0.025000,-0.00159,163.593
1000,0.025000,-0.00456,163.423
1000,0.050000,-0.00175,152.978
1000,0.050000,-0.00284,151.650
1000,0.050000,-0.00334,151.681
1000,0.050000,0.00027,151.779
1000,0.050000,-0.00208,151.486
1000,0.050000,-0.00184,151.982
1000,0.050000,-0.00606,151.812
1000,0.050000,-0.00355,151.620
1000,0.050000,0.00345,151.930
1000,0.050000,-0.00394,152.291
1000,0.050000,-0.00681,151.565
1000,0.050000,-0.00366,151.496
1000,0.050000,-0.00596,151.446
1000,0.050000,-0.01062,151.209
1000,0.050000,-0.00194,151.955
1000,0.050000,0.00165,151.751
1000,0.050000,-0.00438,152.401
1000,0.050000,0.00145,151.593
1000,0.050000,-0.00040,151.334
1000,0.050000,-0.00174,152.667
1000,0.050000,-0.00376,152.241
1000,0.050000,-0.00289,151.929
1000,0.050000,-0.00426,152.032
1000,0.050000,-0.00045,151.888
1000,0.050000,-0.00662,152.411
1000,0.050000,-0.00950,152.295
1000,0.050000,-0.00382,152.394
1000,0.050000,0.00229,151.517
1000,0.050000,-0.00019,151.319
1000,0.050000,-0.00423,152.066
1000,0.050000,-0.00660,152.521
1000,0.050000,0.00024,152.186
1000,0.050000,-0.00241,151.710
1000,0.050000,-0.00498,152.955
1000,0.050000,0.00430,152.402
1000,0.050000,-0.00012,152.544
1000,0.050000,0.00081,153.155
1000,0.050000,-0.00352,152.736
1000,0.050000,-0.00523,151.055
1000,0.050000,-0.00085,151.296
1000,0.050000,0.00178,153.486
1000,0.050000,-0.00202,152.482
1000,0.050000,0.00065,151.556
1000,0.050000,-0.00288,151.399
1000,0.050000,0.00091,151.815
1000,0.050000,0.00198,153.385
1000,0.050000,-0.00291,152.113
1000,0.050000,-0.00040,151.457
1000,0.050000,0.00148,152.885
1000,0.050000,-0.00527,153.390
1000,0.050000,0.00178,152.219
1000,0.050000,-0.00375,152.522
1000,0.050000,-0.00779,152.062
1000,0.050000,-0.00854,152.350
1000,0.050000,-0.00840,151.919
1000,0.050000,-0.00400,151.719
1000,0.050000,0.00486,151.783
1000,0.050000,-0.00503,151.810
1000,0.050000,-0.00438,152.573
1000,0.050000,-0.00418,152.223
1000,0.050000,-0.00528,151.736
1000,0.050000,0.00119,152.426
1000,0.050000,0.00149,151.755
1000,0.050000,-0.00232,151.787
1000,0.050000,0.00291,151.219
1000,0.050000,-0.00145,151.847
1000,0.050000,-0.00044,152.285
1000,0.050000,-0.00637,152.602
1000,0.050000,-0.00220,152.692
1000,0.050000,0.00100,151.746
1000,0.050000,0.00067,151.569
1000,0.050000,-0.00576,151.528
