T,d
100,-0.00335
100,-0.00172
100,-0.00078
100,-0.00095
100,-0.00186
100,-0.00309
100,-0.00174
100,0.00058
100,-0.00144
100,-0.00029
100,-0.00193
100,-0.00066
100,-0.00070
100,-0.00357
100,-0.00143
100,0.00096
100,-0.00141
100,0.00063
100,-0.00094
100,0.00062
100,-0.00163
100,-0.00315
100,-0.00047
100,-0.00026
100,-0.00293
100,-0.00235
100,0.00027
100,-0.00188
100,0.00124
100,-0.00049
100,-0.00374
100,0.00064
100,0.00047
100,0.00013
100,-0.00576
100,-0.00168
100,0.00025
100,-0.00282
100,-0.00164
100,-0.00240
100,-0.00055
100,-0.00077
100,0.00031
100,-0.00026
100,-0.00532
100,-0.00074
100,-0.00173
100,0.00152
100,-0.00344
100,-0.00363
100,-0.00344
100,-0.00145
100,0.00088
100,-0.00266
100,-0.00062
100,-0.00288
100,-0.00260
100,-0.00269
100,-0.00023
100,-0.00258
100,0.00327
100,0.00139
100,-0.00165
100,0.00062
100,-0.00093
100,-0.00256
100,0.00038
100,-0.00223
100,-0.00128
100,-0.00164
100,-0.00169
100,-0.00327
100,-0.00256
100,-0.00263
100,-0.00046
100,0.00003
100,-0.00253
100,-0.00042
100,-0.00231
100,-0.00008
100,-0.00144
100,-0.00047
100,-0.00347
100,-0.00141
100,-0.00249
100,-0.00180
100,-0.00238
100,-0.00134
100,-0.00397
100,0.00029
100,-0.00337
100,-0.00044
100,-0.00085
100,-0.00097
100,-0.00165
100,0.00031
100,-0.00298
100,0.00174
100,-0.00220
100,-0.00088
200,-0.00252
200,-0.00195
200,-0.00137
200,-0.00433
200,-0.00437
200,-0.00383
200,-0.00277
200,-0.00484
200,-0.00324
200,-0.00134
200,-0.00177
200,-0.00294
200,-0.00501
200,-0.00517
200,-0.00303
200,-0.00443
200,-0.00616
200,-0.00315
200,-0.00384
200,0.00037
200,-0.00345
200,-0.00449
200,-0.00463
200,-0.00049
200,-0.00457
200,-0.00209
200,-0.00389
200,-0.00228
200,-0.00016
200,-0.00464
200,-0.00401
200,-0.00141
200,-0.00280
200,-0.00234
200,-0.00400
200,-0.00182
200,-0.00402
200,-0.00061
200,-0.00097
200,-0.00342
200,-0.00265
200,-0.00386
200,-0.00155
200,-0.00417
200,-0.00371
200,-0.00310
200,-0.00173
200,-0.00327
200,-0.00457
200,-0.00238
200,0.00187
200,-0.00277
200,-0.00538
200,-0.00395
200,0.00049
200,-0.00266
200,-0.00068
200,-0.00397
200,-0.00216
200,0.00025
200,-0.00251
200,-0.00047
200,-0.00436
200,-0.00058
200,-0.00239
200,-0.00150
200,-0.00373
200,-0.00274
200,-0.00432
200,-0.00306
200,-0.00140
200,-0.00208
200,-0.00127
200,-0.00159
200,-0.00273
200,-0.00400
200,-0.00110
200,-0.00362
200,-0.00153
200,-0.00137
200,-0.00259
200,-0.00246
200,-0.00469
200,-0.00238
200,-0.00132
200,-0.00418
200,-0.00223
200,0.00215
200,-0.00179
200,-0.00355
200,-0.00169
200,-0.00299
200,-0.00314
200,-0.00055
200,-0.00474
200,-0.00361
200,-0.00188
200,0.00059
200,-0.00384
200,-0.00231
500,-0.00743
500,-0.00519
500,-0.01054
500,-0.00509
500,-0.00329
500,-0.01024
500,-0.00574
500,-0.00514
500,-0.00902
500,-0.00591
500,-0.00609
500,-0.00825
500,-0.00972
500,-0.00332
500,-0.00851
500,-0.00711
500,-0.00436
500,-0.00920
500,-0.00784
500,-0.00208
500,-0.00590
500,-0.01329
500,-0.00615
500,-0.01196
500,-0.00281
500,-0.00884
500,-0.01048
500,-0.00706
500,-0.00209
500,-0.00560
500,-0.00268
500,-0.00409
500,-0.00771
500,-0.00939
500,-0.00389
500,-0.00305
500,0.00013
500,-0.00258
500,-0.00858
500,-0.00646
500,-0.00681
500,-0.00362
500,-0.00801
500,-0.00937
500,-0.00862
500,-0.00201
500,-0.00342
500,-0.00147
500,-0.00655
500,-0.00708
500,-0.00904
500,-0.00645
500,-0.00829
500,-0.00161
500,-0.00831
500,-0.00557
500,-0.00828
500,-0.00112
500,-0.00897
500,-0.00477
500,-0.00961
500,-0.00688
500,-0.00429
500,-0.00225
500,-0.01170
500,-0.00870
500,-0.00445
500,-0.00417
500,-0.00709
500,-0.00049
500,-0.00498
500,-0.00077
500,-0.00537
500,-0.00713
500,-0.01005
500,-0.00281
500,-0.00902
500,-0.00343
500,-0.00238
500,-0.00093
500,-0.00249
500,-0.00157
500,-0.00839
500,-0.00257
500,-0.00696
500,-0.00455
500,-0.00216
500,-0.00007
500,-0.00577
500,-0.00384
500,-0.00674
500,-0.01060
500,-0.00630
500,-0.00847
500,-0.00402
500,-0.00473
500,-0.00234
500,-0.00362
500,-0.00368
500,-0.00832
1000,-0.01135
1000,-0.00721
1000,0.00069
1000,-0.00897
1000,-0.00926
1000,-0.00408
1000,-0.00510
1000,-0.00818
1000,-0.01178
1000,0.00082
1000,-0.00405
1000,-0.01065
1000,-0.00483
1000,-0.01004
1000,-0.00809
1000,-0.00326
1000,-0.01115
1000,-0.00838
1000,-0.00358
1000,-0.00707
1000,0.00878
1000,-0.00193
1000,-0.00803
1000,-0.00194
1000,-0.00550
1000,-0.00451
1000,-0.00661
1000,-0.00547
1000,-0.01352
1000,0.00086
1000,-0.00805
1000,-0.00882
1000,-0.01079
1000,-0.00690
1000,-0.00678
1000,-0.00622
1000,-0.00557
1000,0.00004
1000,-0.00968
1000,-0.00741
1000,0.00162
1000,-0.00388
1000,-0.00444
1000,-0.00616
1000,-0.00855
1000,-0.00411
1000,-0.01334
1000,-0.00498
1000,-0.01105
1000,-0.00638
1000,-0.00304
1000,-0.01088
1000,-0.00426
1000,-0.01291
1000,-0.00910
1000,-0.00861
1000,-0.00057
1000,-0.01267
1000,-0.00828
1000,-0.00103
1000,-0.00323
1000,-0.00653
1000,0.00174
1000,-0.00042
1000,-0.00358
1000,0.00181
1000,-0.00034
1000,-0.01234
1000,-0.00431
1000,0.00042
1000,-0.00476
1000,-0.01006
1000,-0.00762
1000,-0.00848
1000,-0.01045
1000,-0.01274
1000,-0.00048
1000,-0.01329
1000,-0.00124
1000,-0.01065
1000,-0.01082
1000,-0.00393
1000,-0.00247
1000,-0.00223
1000,-0.00828
1000,-0.00214
1000,-0.00173
1000,-0.00675
1000,-0.00428
1000,-0.00954
1000,-0.00928
1000,-0.00489
1000,-0.01308
1000,-0.00857
1000,-0.00456
1000,-0.00276
1000,-0.00326
1000,-0.00723
1000,-0.00980
1000,0.00020
1500,-0.00241
1500,-0.00336
1500,-0.00506
1500,-0.00147
1500,-0.00214
1500,-0.00520
1500,-0.00273
1500,-0.00434
1500,-0.00630
1500,-0.00603
1500,-0.00184
1500,-0.00178
1500,-0.00711
1500,-0.00237
1500,-0.00748
1500,-0.00532
1500,-0.01179
1500,-0.00121
1500,0.00032
1500,-0.00763
1500,-0.01400
1500,-0.00344
1500,0.00612
1500,-0.00572
1500,-0.00683
1500,0.00014
1500,-0.00579
1500,-0.00792
1500,0.00162
1500,0.00209
1500,-0.01525
1500,-0.00659
1500,-0.00933
1500,-0.00527
1500,-0.01315
1500,-0.01021
1500,-0.00770
1500,-0.00999
1500,-0.00022
1500,-0.00301
1500,0.00289
1500,0.00081
1500,-0.00795
1500,-0.00978
1500,-0.00429
1500,0.00872
1500,-0.00563
1500,-0.01295
1500,-0.00398
1500,-0.00699
1500,-0.00371
1500,0.00273
1500,-0.00609
1500,-0.00012
1500,-0.01077
1500,-0.00666
1500,-0.00564
1500,-0.00613
1500,-0.00783
1500,-0.01202
1500,-0.00693
1500,-0.01148
1500,-0.01780
1500,-0.00486
1500,-0.00694
1500,0.00138
1500,-0.00189
1500,-0.00577
1500,-0.00333
1500,-0.00713
1500,-0.00977
1500,-0.00830
1500,-0.00004
