T,d
100,-0.00118
100,-0.00119
100,-0.00119
100,-0.00208
100,0.00203
100,-0.00383
100,-0.00120
100,-0.00120
100,-0.00283
100,-0.00152
100,-0.00152
100,-0.00151
100,0.00034
100,-0.00136
100,-0.00136
100,-0.00422
100,-0.00412
100,-0.00006
100,-0.00006
100,-0.00508
100,-0.00195
100,-0.00195
100,-0.00242
100,-0.00019
100,-0.00019
100,-0.00031
100,-0.00268
100,-0.00268
100,-0.00096
100,0.00043
100,0.00043
100,-0.00109
100,-0.00220
100,-0.00220
100,-0.00087
100,-0.00151
100,-0.00136
100,-0.00136
100,0.00091
100,-0.00269
100,-0.00269
100,-0.00186
100,-0.00192
100,-0.00192
100,0.00044
100,0.00005
100,0.00005
100,-0.00356
100,-0.00164
100,-0.00148
100,-0.00148
100,-0.00086
100,-0.00093
100,-0.00093
100,0.00121
100,-0.00166
100,-0.00166
100,-0.00088
100,0.00147
100,-0.00082
100,-0.00082
100,-0.00293
100,-0.00254
100,-0.00254
100,0.00020
100,-0.00249
100,-0.00249
100,-0.00101
100,-0.00169
100,-0.00169
100,0.00003
100,-0.00232
100,-0.00232
100,-0.00191
100,-0.00243
100,-0.00243
100,-0.00271
100,-0.00327
100,-0.00062
100,-0.00062
100,-0.00110
100,-0.00217
100,-0.00217
100,-0.00173
100,0.00093
100,0.00093
100,-0.00228
100,-0.00220
100,-0.00220
100,-0.00032
100,-0.00024
100,-0.00166
100,-0.00166
100,-0.00066
100,-0.00005
100,-0.00005
100,-0.00254
100,-0.00224
100,-0.00224
100,0.00153
200,-0.00471
200,-0.00284
200,-0.00260
200,-0.00513
200,-0.00172
200,-0.00276
200,-0.00340
200,-0.00531
200,-0.00460
200,-0.00332
200,-0.00007
200,-0.00398
200,-0.00332
200,-0.00465
200,-0.00494
200,-0.00363
200,-0.00234
200,-0.00222
200,-0.00462
200,-0.00248
200,-0.00369
200,-0.00380
200,-0.00530
200,-0.00217
200,-0.00365
200,-0.00296
200,-0.00240
200,-0.00253
200,-0.00033
200,-0.00544
200,-0.00243
200,-0.00422
200,-0.00448
200,-0.00475
200,-0.00287
200,-0.00249
200,-0.00195
200,-0.00432
200,-0.00450
200,-0.00098
200,-0.00460
200,-0.00356
200,-0.00093
200,-0.00470
200,-0.00497
200,-0.00491
200,-0.00290
200,-0.00385
200,-0.00202
200,-0.00438
200,-0.00306
200,-0.00410
200,-0.00585
200,-0.00245
200,-0.00415
200,-0.00437
200,-0.00223
200,-0.00484
200,-0.00408
200,-0.00019
200,-0.00516
200,-0.00410
200,-0.00343
200,-0.00223
200,-0.00423
200,-0.00376
200,-0.00255
200,-0.00532
200,-0.00475
200,-0.00375
200,-0.00551
200,-0.00083
200,-0.00305
200,-0.00287
200,-0.00410
200,-0.00458
200,-0.00395
200,-0.00127
200,-0.00227
200,-0.00166
200,-0.00272
200,-0.00296
200,-0.00397
200,-0.00264
200,-0.00396
200,-0.00188
200,-0.00434
200,-0.00298
200,-0.00257
200,-0.00479
200,-0.00482
200,-0.00295
200,-0.00459
200,-0.00473
200,-0.00247
200,-0.00463
200,-0.00387
200,-0.00281
200,-0.00288
200,-0.00386
500,-0.00656
500,-0.00428
500,-0.00612
500,-0.00381
500,-0.00803
500,-0.00583
500,-0.00640
500,-0.00541
500,-0.00655
500,-0.00710
500,-0.00416
500,-0.00460
500,-0.00609
500,-0.00791
500,-0.00494
500,-0.00487
500,-0.00452
500,-0.00523
500,-0.00792
500,-0.00487
500,-0.00453
500,-0.00821
500,-0.00707
500,-0.00533
500,-0.00535
500,-0.00703
500,-0.00652
500,-0.00306
500,-0.00309
500,-0.00677
500,-0.00740
500,-0.00542
500,-0.00589
500,-0.00660
500,-0.00403
500,-0.00703
500,-0.00446
500,-0.00619
500,-0.00815
500,-0.00542
500,-0.00688
500,-0.00758
500,-0.00529
500,-0.00552
500,-0.00738
500,-0.00496
500,-0.00529
500,-0.00641
500,-0.00669
500,-0.00586
500,-0.00656
500,-0.00446
500,-0.00539
500,-0.00571
500,-0.00523
500,-0.00422
500,-0.00937
500,-0.00763
500,-0.00745
500,-0.00558
500,-0.00604
500,-0.00754
500,-0.00629
500,-0.00623
500,-0.00569
500,-0.00745
500,-0.00413
500,-0.00452
500,-0.00678
500,-0.00774
500,-0.00472
500,-0.00555
500,-0.00650
500,-0.00463
500,-0.00426
500,-0.00676
500,-0.00600
500,-0.00522
500,-0.00703
500,-0.00489
500,-0.00494
500,-0.00538
500,-0.00752
500,-0.00497
500,-0.00657
500,-0.00379
500,-0.00510
500,-0.00650
500,-0.00472
500,-0.00766
500,-0.00569
500,-0.00422
500,-0.00538
500,-0.00663
500,-0.00721
500,-0.00584
500,-0.00468
500,-0.00476
500,-0.00714
500,-0.00620
1000,-0.00743
1000,-0.00679
1000,-0.00695
1000,-0.00767
1000,-0.00521
1000,-0.00584
1000,-0.00598
1000,-0.00455
1000,-0.00877
1000,-0.00432
1000,-0.00867
1000,-0.00695
1000,-0.00893
1000,-0.00577
1000,-0.00350
1000,-0.00547
1000,-0.00513
1000,-0.00714
1000,-0.00545
1000,-0.00593
1000,-0.00561
1000,-0.00589
1000,-0.00448
1000,-0.00543
1000,-0.00737
1000,-0.00668
1000,-0.00771
