i,x,y,z,r,theta
0,0,0,0,0,180
1,-4,-30,0,30,83
2,-23,-14,0,26,32
3,7,29,0,29,256
4,8,-28,0,29,106
5,8,-28,0,29,106
6,9,-28,0,29,108
7,12,26,0,28,245
8,-14,25,0,28,299
9,0,30,0,30,270
10,-28,-5,0,28,11
11,-10,29,0,30,289
12,-14,26,0,29,298
13,-14,26,0,29,298
14,-27,-7,0,27,15
15,-25,-13,0,28,28
16,-27,7,0,27,345
17,-23,-16,0,28,35
18,28,-3,0,28,174
19,0,31,0,31,270
20,-2,-32,0,32,87
21,-26,-15,0,30,30
22,28,6,0,28,192
23,-18,-26,0,31,56
24,-1,32,0,32,271
25,15,28,0,31,241
26,23,19,0,29,219
27,-29,0,0,29,360
28,23,19,0,29,219
29,-28,-9,0,29,18
30,-18,25,0,30,305
31,19,-24,0,30,129
32,-29,3,0,29,354
33,30,1,0,30,181
34,-30,-6,0,30,12
35,28,12,0,30,203
36,20,-24,0,31,130
37,-25,16,0,29,327
38,30,3,0,30,185
39,18,27,0,32,236
40,-21,23,0,31,312
41,22,-22,0,31,135
42,-30,6,0,30,348
43,-14,29,0,32,295
44,-2,34,0,34,273
45,18,28,0,33,237
46,24,21,0,31,221
47,30,-6,0,30,169
48,-21,23,0,31,312
49,-30,-10,0,31,19
50,-23,-25,0,33,48
51,19,28,0,33,235
52,18,-27,0,32,124
53,-8,-34,0,34,77
54,25,-20,0,32,142
55,32,2,0,32,183
56,-18,-29,0,34,59
57,-27,-18,0,32,34
58,1,35,0,35,268
59,-29,12,0,31,337
60,6,-34,0,34,101
61,-22,-28,0,35,52
62,-30,-16,0,34,29
63,-27,-21,0,34,38
64,-32,-3,0,32,6
65,32,0,0,32,180
66,-11,32,0,33,288
67,27,23,0,35,220
68,32,5,0,32,188
69,-32,-9,0,33,16
70,-34,-6,0,34,11
71,-17,-33,0,37,63
72,32,13,0,34,202
73,-3,-37,0,37,86
74,13,34,0,36,249
75,26,25,0,36,223
76,-11,-35,0,36,73
77,-17,29,0,33,300
78,22,-26,0,34,131
79,-24,23,0,33,316
80,-20,29,0,35,304
81,20,33,0,38,238
82,-1,-37,0,37,89
83,-27,-26,0,37,44
84,30,-17,0,34,151
85,-2,-38,0,38,87
86,-34,-5,0,34,9
87,27,25,0,36,222
88,6,-36,0,36,100
89,7,37,0,37,259
90,-22,-32,0,38,56
91,-10,-37,0,38,75
92,-25,25,0,35,315
93,7,-36,0,36,102
94,-1,-38,0,38,89
95,27,28,0,38,226
96,-30,-23,0,37,38
97,-29,-25,0,38,41
98,-36,-3,0,36,5
99,35,-4,0,35,174
100,-36,1,0,36,358
101,-1,-39,0,39,89
102,16,-33,0,36,116
103,-13,35,0,37,290
104,13,-35,0,37,111
105,22,-29,0,36,128
106,-9,37,0,38,283
107,35,12,0,37,198
