i,x,y,z,r,theta
0,0,0,0,0,180
1,-13,27,0,29,295
2,26,-8,0,27,163
3,28,8,0,29,195
4,15,-26,0,30,120
5,25,-14,0,28,151
6,14,-25,0,28,120
7,-22,19,0,29,319
8,-5,30,0,30,279
9,21,19,0,28,222
10,-26,-13,0,29,27
11,12,31,0,33,248
12,4,32,0,32,262
13,29,6,0,29,191
14,3,-33,0,33,96
15,-8,-30,0,31,76
16,26,14,0,29,208
17,14,-27,0,30,118
18,29,1,0,29,181
19,-11,-29,0,31,70
20,-11,-33,0,34,72
21,17,-28,0,32,122
22,11,-31,0,32,110
23,26,17,0,31,213
24,-31,-7,0,31,13
25,-11,-32,0,33,72
26,31,6,0,31,190
27,31,-5,0,31,171
28,15,29,0,32,242
29,-11,-33,0,34,72
30,-18,-31,0,35,60
31,31,-7,0,31,168
32,30,15,0,33,206
33,-31,-12,0,33,22
34,31,10,0,32,197
35,31,8,0,32,194
36,-26,-24,0,35,43
37,-31,13,0,33,337
38,9,34,0,35,255
39,13,35,0,37,249
40,-35,0,0,35,360
41,-5,-38,0,38,83
42,1,-38,0,38,92
43,-16,33,0,36,295
44,-36,0,0,36,360
45,-8,-38,0,38,79
46,-35,6,0,35,350
47,-23,30,0,37,307
48,0,-40,0,40,90
49,3,-39,0,39,95
50,20,-34,0,39,121
51,30,-22,0,37,144
52,30,25,0,39,219
53,-11,-40,0,41,75
54,34,16,0,37,205
55,-36,-12,0,37,19
56,27,-26,0,37,137
57,-26,-29,0,38,49
58,30,27,0,40,221
59,30,22,0,37,216
60,22,-35,0,41,123
61,35,-14,0,37,159
62,-26,29,0,38,311
63,26,-30,0,39,131
64,-23,32,0,39,305
65,-21,-36,0,41,60
66,40,1,0,40,181
67,-20,-36,0,41,61
68,31,-23,0,38,144
69,-21,-36,0,41,60
70,-23,36,0,42,302
71,38,-13,0,40,162
72,39,-1,0,39,179
73,36,-18,0,40,154
74,36,-18,0,40,154
75,-39,-16,0,42,23
76,33,-24,0,40,144
77,23,-34,0,41,125
78,37,20,0,42,208
79,-35,20,0,40,330
80,-37,-24,0,44,33
81,43,4,0,43,185
82,30,33,0,44,227
83,-33,28,0,43,319
84,-12,43,0,44,285
85,-6,-47,0,47,83
86,-37,-26,0,45,36
87,-33,27,0,42,320
88,40,-12,0,41,164
89,-4,46,0,46,274
90,40,-20,0,44,154
91,-20,-43,0,47,66
92,-20,42,0,46,295
93,-30,-37,0,47,51
94,-43,6,0,43,352
95,-44,4,0,44,354
96,10,48,0,49,258
97,-43,-11,0,44,15
98,41,19,0,45,204
99,-21,41,0,46,297
100,-25,40,0,47,302
101,-31,-40,0,50,53
102,23,45,0,50,242
103,31,-35,0,46,132
104,-45,-11,0,46,14
105,-44,-20,0,48,25
106,-10,-49,0,50,79
107,-37,-31,0,48,40
108,45,-10,0,46,168
109,22,-41,0,46,119
110,47,-2,0,47,178
111,16,-47,0,49,109
112,30,-39,0,49,128
113,30,-38,0,48,129
114,-42,-30,0,51,36
115,17,49,0,51,250
116,42,26,0,49,211
117,-2,52,0,52,272
118,23,46,0,51,243
119,47,-7,0,47,172
120,-44,-27,0,51,32
121,-4,54,0,54,274
122,-43,23,0,48,331
123,-9,-54,0,54,81
124,28,46,0,53,238
125,37,39,0,53,226
126,49,10,0,50,191
127,38,-32,0,49,140
128,-47,13,0,48,344
129,44,-23,0,49,153
130,-16,51,0,53,287
131,8,55,0,55,261
132,-50,12,0,51,346
133,28,50,0,57,240
134,-38,-42,0,56,48
135,36,-36,0,50,135
136,48,26,0,54,208
137,-21,48,0,52,293
138,23,-47,0,52,117
139,-24,-52,0,57,66
140,36,46,0,58,231
141,6,58,0,58,264
142,26,54,0,59,244
143,-55,0,0,55,360
144,52,21,0,56,201
145,18,-52,0,55,110
146,54,7,0,54,187
147,-23,-54,0,58,67
148,53,13,0,54,193
149,41,39,0,56,223
150,-56,5,0,56,354
151,-56,0,0,56,360
152,-48,25,0,54,332
153,15,-54,0,56,106
154,20,-53,0,56,111
155,12,-58,0,59,102
156,-2,-59,0,59,89
157,18,-53,0,55,109
158,-55,-3,0,55,4
159,-22,-57,0,61,69
160,58,3,0,58,182
161,-30,48,0,56,302
162,39,49,0,62,231
163,-20,-58,0,61,71
164,54,27,0,60,206
165,49,37,0,61,217
166,58,-3,0,58,178
167,21,57,0,60,249
168,-20,55,0,58,289
169,9,-59,0,59,99
170,29,-51,0,58,120
171,48,44,0,65,222
172,-57,16,0,59,344
173,42,47,0,63,228
174,54,-24,0,59,157
175,45,45,0,63,225
176,58,-7,0,58,174
177,-56,-27,0,62,26
178,0,-63,0,63,90
179,31,57,0,64,241
180,32,59,0,67,241
181,16,64,0,65,255
182,61,1,0,61,180
183,-61,-12,0,62,12
184,-27,-61,0,66,67
185,61,-5,0,61,176
186,-15,-63,0,64,77
187,-55,-33,0,64,31
188,42,-43,0,60,135
189,56,34,0,65,211
190,-54,32,0,62,329
191,15,-64,0,65,104
192,51,-35,0,61,146
193,4,66,0,66,266
194,-14,63,0,64,282
195,-63,-6,0,63,6
196,21,64,0,67,251
197,-48,39,0,61,320
198,-62,7,0,62,353
199,-40,-55,0,68,54
200,-34,-62,0,70,62
201,-15,-69,0,70,78
202,-49,-50,0,70,46
203,62,32,0,69,207
204,58,39,0,69,213
205,51,-38,0,63,144
206,30,62,0,68,244
207,60,35,0,69,210
208,-56,30,0,63,331
209,-33,-63,0,71,63
210,-9,-70,0,70,83
211,-68,1,0,68,359
212,-50,-52,0,72,47
213,64,33,0,72,207
214,21,-64,0,67,109
215,63,34,0,71,208
216,45,55,0,71,230
217,38,-53,0,65,126
218,-16,-70,0,71,78
219,65,-15,0,66,168
220,-59,34,0,68,330
221,-9,70,0,70,277
222,20,-67,0,69,107
223,67,-17,0,69,166
224,10,-70,0,70,99
225,-70,-13,0,71,11
226,57,-35,0,66,149
227,-62,26,0,67,337
228,63,36,0,72,209
229,-39,54,0,66,305
230,27,71,0,75,249
231,13,72,0,73,259
232,-63,27,0,68,336
233,32,-62,0,69,118
